	completeness	contamination	GC	lineage	N50	size
381-192	98.44	0.0	0.556	Burkholderiales	172874	2090396
360-173	90.46	0.587	0.426	Pasteurellaceae	50536	1819382
359-172	97.24	4.138	0.434	Prevotella	71619	2384878
419-226	98.25	0.0	0.34	Spirochaetaceae	35737	2408317
544-339	100.0	135.7	0.331	root	66395	4877990
540-335	100.0	244.7	0.467	root	106507	9257513
358-171	95.02	0.0	0.467	Spirochaetaceae	31616	2886310
496-296	87.71	38.24	0.347	Bacteria	54234	3045516
534-32	53.75	0.0	0.483	Bacteria	3922	1640037
408-216	97.13	0.969	0.4	Streptococcus	51512	1950398
423-22	97.38	0.955	0.387	Clostridiales	69740	2057731
467-26	69.99	1.117	0.35	Firmicutes	5481	884280
499-299	100.0	82.03	0.302	Bacteria	6544	4899050
384-195	99.32	0.347	0.386	Prevotella	245004	2856964
501-2	58.91	0.021	0.354	Clostridiales	2747	883726
406-214	92.8	12.66	0.402	Bacteroidetes	9957	2655590
610-399	100.0	494.5	0.386	root	53109	19140265
357-170	100.0	0.525	0.69	Burkholderiales	61383	5363969
645-42	100.0	100.0	0.264	root	47118	1436599
478-27	77.07	2.594	0.488	Porphyromonadaceae	3440	1503882
427-233	98.0	0.0	0.503	Prevotella	151799	2809477
395-204	99.19	3.763	0.377	Spirochaetaceae	131853	2810083
599-389	62.73	0.335	0.331	Clostridiales	101786	879203
489-28	71.24	15.2	0.371	Bacteria	2458	1721957
445-24	92.53	3.776	0.387	Selenomonadales	7272	1925833
650-434	57.14	1.785	0.234	Bacteria	22381	435931
656-43	100.0	200.0	0.643	root	243853	23803485
596-386	56.66	3.803	0.314	Clostridiales	12167	1825514
472-274	89.85	5.842	0.342	Bacteria	60374	2122087
634-41	80.32	2.247	0.486	Bacteria	4717	1279769
444-249	96.77	0.0	0.375	Spirochaetaceae	229044	2639750
508-306	94.89	0.184	0.287	Epsilonproteobacteria	230643	1721109
523-31	81.98	1.111	0.4	Epsilonproteobacteria	3676	1404627
459-262	98.6	7.692	0.442	Spirochaetaceae	146135	2774282
567-35	56.81	10.25	0.375	Clostridiales	2877	1157758
486-287	99.14	1.351	0.433	Prevotella	97121	2508938
475-277	95.87	2.308	0.408	Prevotella	51853	3161802
537-332	98.95	0.0	0.29	Epsilonproteobacteria	125049	1775584
582-373	98.62	0.123	0.358	Epsilonproteobacteria	78713	1689938
556-34	82.61	2.789	0.589	Bifidobacteriaceae	4360	2088608
55-104	81.5	0.987	0.418	Prevotella	11871	2702308
763-536	53.91	3.448	0.266	Bacteria	81660	1190865
723-4	98.24	27.65	0.663	Bacteria	11170	5645080
623-40	67.6	1.587	0.369	Prevotella	4980	1681992
809-578	58.26	0.0	0.353	Bacteria	466292	763662
434-23	71.31	1.332	0.644	Pseudomonadales	4130	4012157
745-51	97.61	0.952	0.555	Bacteroidetes	34767	2595986
667-44	82.55	1.52	0.412	Prevotella	7346	2205632
545-33	86.72	2.852	0.63	Gammaproteobacteria	4755	3595386
822-58	85.28	2.198	0.383	Clostridiales	4642	1187011
700-47	86.56	5.732	0.376	Clostridiales	4939	2274001
767-53	63.65	8.771	0.414	Prevotella	7880	1957636
944-69	100.0	46.5	0.578	Bacteria	47857	3589312
856-61	93.96	0.595	0.388	Lactobacillales	23483	1589631
77-106	99.29	4.424	0.521	Porphyromonadaceae	87010	2511010
833-59	98.25	11.25	0.381	Streptococcus	18256	1952011
811-57	95.45	0.427	0.438	Spirochaetaceae	24191	2156289
778-54	99.31	2.871	0.643	Sphingomonadales	304016	4492445
989-73	72.33	4.179	0.337	Spirochaetaceae	3603	1418572
88-107	85.62	0.37	0.465	Epsilonproteobacteria	41150	2175585
756-52	97.61	2.608	0.386	Bacteroidetes	11885	2867783
889-64	95.47	0.752	0.32	Clostridiales	33589	2513565
956-70	74.15	0.331	0.484	Porphyromonadaceae	4263	1371859
900-65	83.32	2.871	0.436	Prevotella	5619	1822193
967-71	100.0	1.694	0.621	Bacteria	114577	3040415
867-62	94.4	23.58	0.441	Prevotella	6083	3157379
911-66	90.16	10.54	0.458	Epsilonproteobacteria	4914	2238457
102-1092	0.0	0.0	0.425	root	1735	1735
349-163	0.0	0.0	0.597	root	1823	99601
1017-765	0.0	0.0	0.406	root	5814	5814
109-1099	0.0	0.0	0.538	root	1665	1665
179-1161	0.0	0.0	0.444	root	1622	1622
649-433	0.0	0.0	0.447	root	77869	77869
1094-834	0.0	0.0	0.452	root	4545	8483
511-309	0.0	0.0	0.353	root	5524	196180
473-275	0.0	0.0	0.624	root	6122	11645
1204-933	0.0	0.0	0.462	root	4985	4985
1250-975	0.0	0.0	0.435	root	4935	4935
236-1212	0.0	0.0	0.363	root	1605	1605
348-162	0.0	0.0	0.479	root	3733	331825
254-1229	0.0	0.0	0.281	root	1508	1508
136-1122	0.0	0.0	0.283	root	2268	2268
1214-942	0.0	0.0	0.405	root	2424	2424
153-1138	0.0	0.0	0.396	root	2521	4179
543-338	0.0	0.0	0.453	root	3638	78376
207-1187	0.0	0.0	0.389	root	2289	4433
492-292	0.0	0.0	0.377	root	3499	13902
515-312	0.0	0.0	0.346	root	3355	301528
244-121	43.85	8.771	0.368	Bacteria	2584	1660376
413-220	13.95	0.0	0.372	Bacteria	12344	584123
111-10	0.0	0.0	0.443	root	2590	37162
248-1223	0.0	0.0	0.375	root	2911	2911
370-182	15.27	0.073	0.515	Neisseriaceae	2132	583170
1063-806	0.0	0.0	0.368	root	1573	1573
270-1243	0.0	0.0	0.356	root	1897	1897
1036-782	0.0	0.0	0.343	root	5025	53313
149-1134	0.0	0.0	0.252	root	1575	1575
541-336	0.0	0.0	0.507	root	2385	21159
1030-777	0.0	0.0	0.255	root	1731	16549
642-427	0.0	0.0	0.381	root	1844	9572
1101-840	0.0	0.0	0.257	root	5421	20545
490-290	0.626	0.0	0.317	Bacteria	2332	68315
158-1142	0.0	0.0	0.302	root	1622	1622
61-1055	0.0	0.0	0.312	root	1952	5611
1172-904	0.0	0.0	0.22	root	4151	4151
1096-836	0.0	0.0	0.328	root	1704	1704
1153-888	0.0	0.0	0.226	root	3909	7644
1041-787	8.62	0.0	0.343	Bacteria	124602	170656
1083-824	0.0	0.0	0.295	root	2543	12018
167-1150	0.0	0.0	0.327	root	1687	1687
516-313	0.0	0.0	0.249	root	2729	57390
1079-820	0.0	0.0	0.482	root	1899	1899
396-205	8.333	0.0	0.44	root	3645	160517
104-1094	0.0	0.0	0.279	root	1509	1509
398-207	0.0	0.0	0.496	root	1960	72683
1015-763	0.0	0.0	0.466	root	1815	3591
1039-785	0.0	0.0	0.441	root	1573	1573
289-1260	0.0	0.0	0.591	root	1521	1521
189-1170	0.0	0.0	0.384	root	8500	8500
333-149	0.0	0.0	0.481	root	2047	447741
1231-958	0.0	0.0	0.467	root	2335	2335
115-1103	0.0	0.0	0.435	root	1688	1688
733-509	1.724	0.0	0.337	Bacteria	4504	625025
1191-921	0.0	0.0	0.414	root	1668	1668
1274-997	0.0	0.0	0.397	root	5210	7031
1122-85	0.0	0.0	0.324	root	9235	233263
1218-946	0.0	0.0	0.342	root	1599	1599
145-1130	0.0	0.0	0.362	root	1551	1551
553-347	0.0	0.0	0.394	root	1645	3148
192-1173	0.0	0.0	0.473	root	2901	2901
1141-877	0.0	0.0	0.409	root	4375	15511
1184-915	0.0	0.0	0.446	root	7551	20325
741-516	0.0	0.0	0.464	root	3077	131522
1265-989	0.0	0.0	0.444	root	3357	3357
551-345	0.0	0.0	0.355	root	82131	100705
916-674	0.0	0.0	0.376	root	4300	22668
563-356	0.0	0.0	0.334	root	1759	33260
1047-792	0.0	0.0	0.319	root	4996	17864
1003-752	0.0	0.0	0.377	root	2366	9979
58-1052	0.0	0.0	0.41	root	20379	20379
653-437	0.0	0.0	0.435	root	2242	12114
779-550	0.0	0.0	0.495	root	2094	63095
4-1003	0.0	0.0	0.431	root	4419	6352
191-1172	0.0	0.0	0.402	root	1826	1826
13-1011	0.626	0.0	0.38	Bacteria	2104	2104
1043-789	0.0	0.0	0.332	root	3590	3590
300-1270	0.0	0.0	0.412	root	6389	6389
1009-758	0.0	0.0	0.325	root	3902	14574
101-1091	0.0	0.0	0.295	root	3918	3918
1116-854	0.0	0.0	0.42	root	2039	2039
1170-902	0.0	0.0	0.371	root	2900	5369
1052-797	0.0	0.0	0.455	root	2493	4983
1145-880	0.0	0.0	0.324	root	11727	20973
392-201	2.037	0.0	0.357	Bacteria	2045	98713
202-1182	0.0	0.0	0.398	root	2866	2866
231-1208	0.0	0.0	0.317	root	1858	1858
1152-887	0.0	0.0	0.402	root	2689	4378
1061-804	0.0	0.0	0.358	root	2052	4069
1217-945	0.0	0.0	0.368	root	2827	5422
1130-867	0.0	0.0	0.447	root	1621	1621
520-317	0.0	0.0	0.248	root	3425	54407
1025-772	0.0	0.0	0.226	root	7008	13076
278-1250	0.0	0.0	0.304	root	5069	5069
262-1236	0.0	0.0	0.339	root	2289	2289
1020-768	0.0	0.0	0.289	root	2659	10249
1224-951	0.0	0.0	0.315	root	14313	22706
178-1160	0.0	0.0	0.273	root	9826	9826
394-203	0.0	0.0	0.401	root	3342	111399
161-1145	0.0	0.0	0.367	root	1930	1930
133-111	9.482	0.0	0.464	Bacteria	3097	330482
1242-968	0.0	0.0	0.343	root	1692	1692
1205-934	0.0	0.0	0.443	root	2557	2557
644-429	0.0	0.0	0.46	root	1873	29099
1028-775	0.0	0.0	0.318	root	1690	1690
60-1054	0.0	0.0	0.403	root	4376	6708
1004-753	0.0	0.0	0.417	root	1954	1954
17-1015	0.0	0.0	0.364	root	3973	3973
1154-889	0.0	0.0	0.34	root	3534	3534
1045-790	0.0	0.0	0.428	root	5647	10664
1102-841	0.0	0.0	0.345	root	3002	10237
1068-810	0.0	0.0	0.354	root	1553	1553
1124-861	0.0	0.0	0.529	root	2503	4066
759-532	0.0	0.0	0.38	root	2700	120889
1125-862	0.0	0.0	0.393	root	4654	11370
1071-813	0.0	0.0	0.394	root	1831	13028
220-1199	0.0	0.0	0.435	root	26087	26087
1189-91	32.05	1.724	0.415	Bacteria	2478	1183737
147-1132	0.0	0.0	0.334	root	4161	4161
1134-870	0.0	0.0	0.306	root	2061	19395
791-561	0.0	0.0	0.443	root	8992	83489
42-1038	0.0	0.0	0.544	root	2507	2507
1088-829	0.0	0.0	0.322	root	3159	12449
203-1183	0.0	0.0	0.498	root	3042	3042
663-446	0.0	0.0	0.315	root	3012	74909
366-179	0.0	0.0	0.374	root	2286	47249
513-310	0.0	0.0	0.525	root	12243	55002
1031-778	0.0	0.0	0.41	root	2987	2987
1203-932	0.0	0.0	0.554	root	1709	1709
53-1048	0.0	0.0	0.357	root	2129	2129
507-305	0.0	0.0	0.354	root	2331	37349
1118-856	0.0	0.0	0.394	root	1919	1919
237-1213	0.0	0.0	0.328	root	34212	34212
1018-766	0.0	0.0	0.487	root	1645	5031
310-128	16.92	0.0	0.448	Bacteria	1997	465561
1248-973	0.0	0.0	0.34	root	3672	5394
1040-786	0.0	0.0	0.462	root	10568	27579
795-565	0.0	0.0	0.362	root	3482	60088
1179-910	0.0	0.0	0.353	root	2189	2189
1016-764	0.0	0.0	0.354	root	2345	18831
1066-809	0.0	0.0	0.476	root	2940	7865
576-368	0.0	0.0	0.489	root	2637	2637
1049-794	0.0	0.0	0.358	root	3217	12050
107-1097	0.0	0.0	0.454	root	1688	1688
1081-822	0.0	0.0	0.431	root	2639	46060
1007-756	0.0	0.0	0.328	root	2484	14311
1090-830	0.0	0.0	0.389	root	3095	4877
760-533	0.0	0.0	0.411	root	17461	22240
1073-815	0.0	0.0	0.378	root	2848	7879
1171-903	0.0	0.0	0.383	root	19627	21453
1001-750	0.0	0.0	0.413	root	6273	10130
1126-863	0.0	0.0	0.407	root	2070	2070
502-300	0.0	0.0	0.436	root	1689	1689
503-301	0.0	0.0	0.429	root	15512	48676
130-1117	0.0	0.0	0.607	root	1513	1513
635-420	0.0	0.0	0.557	root	2892	45907
686-467	0.0	0.0	0.421	root	1633	5476
673-455	0.0	0.0	0.389	root	3315	8819
201-1181	0.0	0.0	0.259	root	1530	1530
16-1014	0.0	0.0	0.466	root	2621	4507
683-464	0.0	0.0	0.577	root	8932	44271
297-1268	0.0	0.0	0.583	root	1806	1806
706-485	0.0	0.0	0.657	root	5339	7180
1023-770	0.0	0.0	0.524	root	1534	4722
285-1257	0.0	0.0	0.311	root	5749	8430
597-387	0.0	0.0	0.407	root	84396	159368
1147-882	0.0	0.0	0.315	root	3271	3271
50-1045	4.166	0.0	0.473	root	1522	1522
636-421	0.0	0.0	0.505	root	2431	2431
1000-74	21.47	0.0	0.316	Bacteria	2100	288998
1103-842	0.0	0.0	0.379	root	17688	48401
796-566	0.0	0.0	0.321	root	2518	2518
611-39	41.21	0.124	0.349	Clostridiales	2509	877535
605-394	0.0	0.0	0.363	root	2198	15291
1230-957	0.0	0.0	0.521	root	1688	1688
484-285	0.0	0.0	0.454	root	2972	38763
1202-931	0.0	0.0	0.407	root	1828	1828
1197-927	0.0	0.0	0.406	root	2152	6831
71-1064	0.0	0.0	0.306	root	2038	2038
1086-827	0.0	0.0	0.344	root	1774	5700
308-1278	0.0	0.0	0.38	root	2932	2932
1195-925	0.0	0.0	0.406	root	5623	5623
1092-832	0.0	0.0	0.434	root	2468	2468
657-440	0.0	0.0	0.456	root	2478	303164
678-45	28.6	0.0	0.432	Bacteria	2517	2137703
283-1255	0.0	0.0	0.309	root	1564	1564
1121-859	0.0	0.0	0.615	root	2433	10705
10-1009	1.724	0.0	0.555	Bacteria	2449	2449
542-337	0.0	0.0	0.578	root	2004	67589
54-1049	0.0	0.0	0.403	root	6717	6717
731-507	0.0	0.0	0.302	root	2096	2096
224-1201	0.0	0.0	0.406	root	4648	6599
743-518	0.0	0.0	0.669	root	1514	1514
789-55	0.0	0.0	0.611	root	2127	191787
443-248	0.0	0.0	0.392	root	1693	12600
632-418	0.0	0.0	0.588	root	2075	11074
1151-886	0.0	0.0	0.344	root	1581	1581
1058-801	0.0	0.0	0.351	root	1597	3111
1019-767	0.0	0.0	0.45	root	1935	1935
841-606	0.0	0.0	0.507	root	1578	4749
968-720	0.0	0.0	0.494	root	3736	11333
175-1158	0.0	0.0	0.306	root	1526	1526
547-341	0.0	0.0	0.265	root	2366	2366
1215-943	0.0	0.0	0.454	root	2490	2490
245-1220	0.0	0.0	0.282	root	1965	1965
73-1066	0.0	0.0	0.322	root	2580	2580
712-490	0.0	0.0	0.415	root	2369	2369
991-741	0.0	0.0	0.374	root	3541	5108
1253-978	0.0	0.0	0.353	root	2117	2117
479-280	0.0	0.0	0.278	root	2195	75946
500-29	0.0	0.0	0.229	root	2221	2221
618-405	0.0	0.0	0.323	root	1920	12635
619-406	0.0	0.0	0.26	root	4340	45956
514-311	8.333	0.0	0.328	root	1806	71985
451-255	0.0	0.0	0.448	root	1844	72518
518-315	0.0	0.0	0.293	root	2552	26310
527-323	0.0	0.0	0.491	root	1930	73532
805-574	0.0	0.0	0.292	root	1503	1503
603-392	0.0	0.0	0.367	root	2472	47512
672-454	0.0	0.0	0.298	root	2682	2682
719-497	0.0	0.0	0.328	root	1695	12607
1207-936	0.0	0.0	0.415	root	2328	2328
221-119	0.689	0.0	0.446	Bacteria	1905	88341
757-530	0.0	0.0	0.271	root	1792	1792
185-1167	0.0	0.0	0.455	root	1712	1712
586-377	0.0	0.0	0.469	root	3586	13297
21-1019	0.0	0.0	0.275	root	1881	1881
275-1248	0.0	0.0	0.419	root	3012	3012
218-1197	0.0	0.0	0.405	root	1984	1984
1165-899	0.0	0.0	0.311	root	1564	1564
250-1225	0.0	0.0	0.329	root	8121	8121
1053-798	0.0	0.0	0.244	root	2159	7945
1162-896	0.0	0.0	0.411	root	2049	3612
1261-985	0.0	0.0	0.593	root	2670	2670
1271-994	0.0	0.0	0.667	root	2305	3904
859-622	0.0	0.0	0.359	root	12367	24502
129-1116	0.47	0.0	0.451	Bacteria	2727	5229
1208-937	0.0	0.0	0.527	root	2956	5533
291-1262	0.0	0.0	0.377	root	7196	7196
1091-831	0.0	0.0	0.339	root	2708	4917
820-588	0.0	0.0	0.389	root	2279	2279
232-1209	0.0	0.0	0.296	root	1685	1685
172-1155	0.0	0.0	0.326	root	1803	1803
368-180	7.523	0.0	0.35	Bacteria	2027	349975
369-181	0.0	0.0	0.487	root	1821	69192
24-1021	0.0	0.0	0.366	root	1609	1609
677-459	0.0	0.0	0.35	root	2295	3974
601-390	0.0	0.0	0.322	root	2892	2892
909-668	0.0	0.0	0.307	root	3111	4848
962-715	0.0	0.0	0.419	root	3673	3673
267-1240	0.0	0.0	0.449	root	1965	1965
988-739	0.0	0.0	0.299	root	1714	15757
152-1137	0.0	0.0	0.444	root	2308	2308
685-466	0.0	0.0	0.394	root	1821	1821
354-168	0.0	0.0	0.575	root	3575	117195
11-100	0.0	0.0	0.358	root	1747	12119
1150-885	0.0	0.0	0.435	root	2866	4759
593-383	0.0	0.0	0.553	root	2425	40513
59-1053	0.0	0.0	0.453	root	1713	1713
1057-800	0.0	0.0	0.228	root	5344	5344
1216-944	0.0	0.0	0.33	root	1527	1527
1160-894	0.0	0.0	0.321	root	1992	1992
1010-759	0.0	0.0	0.38	root	4051	15457
256-1230	0.0	0.0	0.514	root	2571	2571
171-1154	0.0	0.0	0.377	root	3538	5135
1254-979	0.0	0.0	0.318	root	1993	5922
276-1249	0.0	0.0	0.298	root	1728	1728
997-747	0.0	0.0	0.328	root	12539	19011
707-486	0.0	0.0	0.385	root	1999	7113
1166-89	0.0	0.0	0.539	root	5175	10134
305-1275	0.0	0.0	0.465	root	7159	7159
448-252	0.0	0.0	0.437	root	2461	55863
1075-817	0.0	0.0	0.442	root	4262	6355
659-442	0.0	0.0	0.333	root	2429	22382
639-424	0.0	0.0	0.396	root	2339	17809
925-682	0.0	0.0	0.322	root	2766	5353
9-1008	0.0	0.0	0.338	root	1543	1543
127-1114	0.0	0.0	0.366	root	1808	1808
1029-776	0.0	0.0	0.32	root	1807	9100
729-505	0.0	0.0	0.358	root	2467	6952
40-1036	0.0	0.0	0.454	root	4051	4051
397-206	0.0	0.0	0.401	root	2321	34064
600-38	29.13	0.0	0.333	Bacteria	3668	657942
374-186	0.0	0.0	0.401	root	1970	39444
446-250	0.0	0.0	0.331	root	1807	1807
1026-773	0.0	0.0	0.407	root	1939	1939
1256-980	0.0	0.0	0.44	root	3184	3184
950-704	0.0	0.0	0.412	root	3093	7917
1108-847	0.0	0.0	0.305	root	2732	2732
1161-895	0.0	0.0	0.364	root	2450	17118
1168-900	0.0	0.0	0.402	root	1964	6125
206-1186	0.0	0.0	0.398	root	1607	1607
425-231	0.0	0.0	0.694	root	1743	42909
103-1093	0.0	0.0	0.365	root	1689	1689
643-428	0.0	0.0	0.406	root	1748	1748
121-1109	0.0	0.0	0.325	root	2368	2368
713-491	0.0	0.0	0.383	root	2244	3850
1046-791	0.0	0.0	0.359	root	1943	1943
669-451	0.0	0.0	0.281	root	2717	4944
376-188	0.0	0.0	0.367	root	4664	29686
1164-898	0.0	0.0	0.385	root	1692	5055
1264-988	0.0	0.0	0.299	root	1661	1661
99-108	0.0	0.0	0.626	root	2423	35451
1183-914	0.0	0.0	0.43	root	5262	10521
128-1115	0.0	0.0	0.382	root	3021	3021
930-687	0.0	0.0	0.412	root	1992	26094
530-326	0.0	0.0	0.34	root	2879	42493
1194-924	0.0	0.0	0.312	root	2312	2312
400-209	0.0	0.0	0.457	root	1759	17965
866-629	0.0	0.0	0.456	root	2711	4811
969-721	0.0	0.0	0.299	root	2515	7202
1107-846	0.0	0.0	0.327	root	1790	1790
458-261	0.0	0.0	0.507	root	1660	1660
637-422	0.0	0.0	0.507	root	4453	4453
225-1202	0.0	0.0	0.294	root	1868	1868
118-1106	0.0	0.0	0.384	root	2951	9027
716-494	0.0	0.0	0.362	root	2127	8425
640-425	0.0	0.0	0.311	root	2961	2961
1159-893	0.0	0.0	0.342	root	1880	1880
217-1196	0.0	0.0	0.341	root	1777	1777
1193-923	0.0	0.0	0.346	root	1776	1776
646-430	0.0	0.0	0.173	root	1816	10735
114-1102	0.0	0.0	0.369	root	2242	2242
788-559	0.0	0.0	0.362	root	1774	1774
139-1125	0.0	0.0	0.497	root	2098	2098
38-1034	0.0	0.0	0.528	root	3112	11544
560-353	0.0	0.0	0.437	root	2483	51665
1119-857	0.0	0.0	0.276	root	1744	1744
684-465	0.0	0.0	0.319	root	2322	16156
106-1096	0.0	0.0	0.522	root	2140	2140
117-1105	0.0	0.0	0.507	root	1869	1869
569-361	0.0	0.0	0.396	root	1592	1592
184-1166	0.0	0.0	0.35	root	2430	2430
483-284	0.0	0.0	0.38	root	4276	46551
1005-754	0.0	0.0	0.304	root	1929	1929
151-1136	0.0	0.0	0.347	root	1504	1504
249-1224	0.0	0.0	0.421	root	1847	1847
869-631	0.0	0.0	0.363	root	6483	8494
1238-964	0.0	0.0	0.326	root	1787	1787
990-740	0.0	0.0	0.432	root	3707	5523
235-1211	0.0	0.0	0.327	root	1797	1797
199-117	0.0	0.0	0.48	root	1732	6304
1042-788	0.0	0.0	0.428	root	1771	3345
1128-865	0.0	0.0	0.326	root	2230	7031
629-415	0.0	0.0	0.343	root	1658	1658
1138-874	0.0	0.0	0.289	root	1661	1661
336-151	0.0	0.0	0.492	root	2026	43367
1099-839	0.0	0.0	0.346	root	2491	2491
86-1078	0.0	0.0	0.449	root	3674	3674
726-502	0.0	0.0	0.405	root	1832	3410
1258-982	0.0	0.0	0.223	root	1563	1563
30-1027	0.0	0.0	0.345	root	3355	3355
346-160	0.0	0.0	0.396	root	1707	38867
901-660	0.0	0.0	0.475	root	2383	3936
1034-780	0.0	0.0	0.229	root	2632	2632
122-110	0.0	0.0	0.327	root	2029	30101
1267-990	0.0	0.0	0.328	root	2054	6140
456-25	14.65	0.0	0.654	Bacteria	2042	530511
441-246	1.586	0.0	0.533	Bacteroidetes	2026	75962
1021-769	0.0	0.0	0.517	root	11955	39018
849-613	0.0	0.0	0.396	root	15859	20824
839-604	0.0	0.0	0.337	root	3787	47727
882-643	0.0	0.0	0.321	root	6713	108942
482-283	0.0	0.0	0.427	root	2137	3910
41-1037	0.0	0.0	0.478	root	1515	1515
47-1042	0.0	0.0	0.4	root	1936	1936
998-748	0.0	0.0	0.34	root	2742	17841
141-1127	0.0	0.0	0.424	root	1847	3347
604-393	0.0	0.0	0.329	root	3154	50026
377-189	0.0	0.0	0.417	root	3281	830271
426-232	0.0	0.0	0.304	root	1852	9315
49-1044	0.0	0.0	0.426	root	1838	5314
183-1165	0.0	0.0	0.395	root	1839	1839
710-489	0.0	0.0	0.509	root	3677	3677
655-439	0.0	0.0	0.415	root	2678	158506
1268-991	0.0	0.0	0.373	root	1800	3456
1228-955	0.0	0.0	0.379	root	4144	6432
476-278	1.724	0.0	0.378	Bacteria	8147	445676
817-585	0.0	0.0	0.324	root	2450	61047
584-375	0.0	0.0	0.49	root	2501	10033
411-219	0.0	0.0	0.406	root	3807	62739
307-1277	0.0	0.0	0.351	root	1676	1676
344-159	0.0	0.0	0.478	root	1845	1845
1072-814	0.0	0.0	0.303	root	2412	4330
559-352	0.0	0.0	0.411	root	5220	8999
739-514	0.0	0.0	0.373	root	2545	102507
113-1101	0.0	0.0	0.482	root	2538	2538
5-1004	0.0	0.0	0.287	root	1590	1590
1106-845	0.0	0.0	0.328	root	1878	12760
474-276	0.0	0.0	0.489	root	18606	168665
535-330	0.0	0.0	0.441	root	2387	17844
935-691	0.0	0.0	0.321	root	3349	12884
342-157	0.0	0.0	0.392	root	3905	35373
78-1070	0.0	0.0	0.607	root	1775	1775
46-1041	0.0	0.0	0.374	root	1874	24286
561-354	0.0	0.0	0.215	root	1737	5075
633-419	0.0	0.0	0.241	root	1939	12276
309-127	0.0	0.0	0.512	root	2183	169303
818-586	0.0	0.0	0.321	root	7373	12718
614-401	0.0	0.0	0.374	root	9184	85000
258-1232	0.0	0.0	0.463	root	2791	2791
364-177	0.0	0.0	0.383	root	2125	75237
585-376	0.0	0.0	0.532	root	2784	2784
631-417	0.0	0.0	0.394	root	25074	25074
108-1098	0.0	0.0	0.402	root	2397	2397
